Station Name,Station Address,City,Zip,Phone,Hours,Charger Network,Latitutde,Longitude,Score,Businesses
350GREEN,1401 Broadway,Sacramento,95818,,24 hours daily,ChargePoint Network,38.5624084,-121.4947968,1,China Buffet
Rabobank - Tesla,950 Highway 99 W,Corning,96021,,24 hours daily; for Tesla use only,,39.926285,-122.198028,1,Denny's Restaurant
Santa Barbara Botanic Garden,1212 Mission Canyon Road,Santa Barbara,93105,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,34.455249,-119.708493,1,Santa Barbara Botanic Garden
COOFMONTEREY,168 W. Alisal,Salinas,93901,,24 hours daily,ChargePoint Network,36.6735893,-121.6597443,1,Randys
ALAMEDA,24100-24498 Amador St,Hayward,94544,,24 hours daily,ChargePoint Network,37.6585641,-122.0937991,1,Cafe De Lagniappe
350GREEN,3320 Chino Hills Pkwy,Chino Hills,91709,,24 hours daily,ChargePoint Network,33.9825674,-117.7320794,1,El Pollo Loco
UCLA PARKING,540 Westwood Plaza,Los Angeles,90095,,24 hours daily,ChargePoint Network,34.068633,-118.4450013,1,Pauley Pavilion Food Court
Creekside Business Park,11641 Blocker Dr,Auburn,95603,,24 hours daily,,38.9022649,-121.0845424,1,Jeanie's Creekside Cafe
ORACLE- RWSHORE,400 Oracle Pkwy,Redwood City,94065,,24 hours daily,ChargePoint Network,37.53135,-122.263574,1,Oracle Cafe 400
Stars Recreation Center,155 Browns Valley Pkwy,Vacaville,95688,,24 hours daily,,38.36557,-121.967,1,City Sports Bar and Grill
1600 VINE,1600 Vine,Los Angeles,90028,,24 hours daily,ChargePoint Network,34.1001743,-118.3256011,1,Solo Tapas
City of San Diego Balboa Park Reuben H. Fleet Science Center,1875 El Prado,San Diego,92101,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,32.730505,-117.147388,1,Reuben H Fleet Science Center
Informatica,2100 Seaport Blvd,San Bruno,94063,,24 hours daily,,37.51070904,-122.2040284,1,Data Bytes Cafe
Lakewood Center Mall,4500 Silva St,Lakewood,90712,,24 hours daily,,33.84788,-118.13889,1,Applebee's
Waterfront Hilton Resort - Valet,21100 Pacific Coast Hwy,Huntington Beach,92648,,24 hours daily; pay lot,,33.65315,-117.9938,1,The Waterfront Beach Resort
Rabobank - Goleta,5956 Calle Real,Goleta,93117,,24 hours daily,,34.4419061,-119.8295935,1,Fresco Cafe North
OCCIDENTAL,Gilman Rd,Los Angeles,90041,,24 hours daily,ChargePoint Network,34.1293449,-118.2110138,1,The Green Bean Coffee & Tea
SANTA CRUZ CNTY,691 Ocean St,Santa Cruz,95060,,24 hours daily,ChargePoint Network,36.9776535,-122.0208206,1,Jack In the Box
UC IRVINE,4002 Mesa Rd Mesa Parking Structure,Irvine,92617,,24 hours daily,ChargePoint Network,33.6508827,-117.8461914,1,New Swan Theater
DGS MAIN,1300 I St,Sacramento,95814,,24 hours daily,ChargePoint Network,38.5796566,-121.4883438,1,Side Bar Cafe
KOHL'S,1051 N Milliken Ave,Ontario,91764,,24 hours daily,ChargePoint Network,34.0763245,-117.5592422,1,El Pollo Loco
CITY OF ANAHEIM,800 W. Katella Ave.,Anaheim,92802,,24 hours daily,ChargePoint Network,33.8023925,-117.9197896,1,WonderCon 2014
Ralphs Store #292 - Santa Monica,1644 Cloverfield Ave,Santa Monica,90404,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,34.027125,-118.47324,1,Starbucks
COUNTY EVSE,725 7th St,Sacramento,95814,,24 hours daily,ChargePoint Network,38.5838146,-121.4961267,1,Turnaround Coffee House
PIER 39,2550 Powell Street,SF,94133,,24 hours daily,ChargePoint Network,37.808128,-122.41168,1,Doggie Diner
The Lodge at Torrey Pines,11480 North Torrey Pines Road,La Jolla,92037,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,32.905037,-117.243529,1,A.R. Valentien
LIVERMORE CA,3033 Collier Canyon Road,Livermore,94551,,24 hours daily,ChargePoint Network,37.7113932,-121.7998302,1,Elite Cafe
NISSAN-UNIVERSA,3550 Cahuenga Blvd W,Los Angeles,90068,,24 hours daily,ChargePoint Network,34.1340239,-118.357521,1,Juan23 Food Truck
South Gate City Hall,8650 California Ave,South Gate,90280,,24 hours daily,,33.9554294,-118.2058725,1,South Gate Civic Center Museum
CENTER BMW,5201 Van Nuys Blvd,Los Angeles,91401,,24 hours daily,ChargePoint Network,34.1653116,-118.4491514,1,Billy's Grill
CONSTELLATION,10250 Constellation Blvd,Los Angeles,90067,,24 hours daily,ChargePoint Network,34.057121,-118.417422,1,The Kitchen At Constellation
CITY OF NOVATO,922 Machin Ave,Novato,94945,,24 hours daily,ChargePoint Network,38.106622,-122.56867,1,Finnegan's Marin Restaurant & Bar
BARONA,1932 Barona Rd,Lakeside,92040,,24 hours daily,ChargePoint Network,32.9395554,-116.8733059,1,Ho Wan
MLIC-BLUE OAKS,1430 Blue Oaks Blvd,Roseville,95747,,24 hours daily,ChargePoint Network,38.7962852,-121.316827,1,Subway
SANTA CLARA U.,2605 The Alameda,Santa Clara,95053,,24 hours daily,ChargePoint Network,37.3459886,-121.9365021,1,Round Table Pizza
Gateway at Donner Pass - Tesla,11290 Donner Pass Rd,Truckee,96161,,24 hours daily; for Tesla use only,,39.3272037,-120.2064298,1,Panda Express
Walmart #1693,2050 W Redlands Blvd,Redlands,92373,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,34.064535,-117.223142,1,McDonald's
LOS ALTOS,51 S San Antonio Rd,Los Altos,94022,,24 hours daily,ChargePoint Network,37.3806213,-122.1122278,1,Los Altos History Museum
CARCHARGING,185 Berry St,San Francisco,94107,,24 hours daily,ChargePoint Network,37.7763786,-122.3918991,1,Focaccia Market and Bakery
Stonestown Mall,1 Stonestown Mall,San Francisco,94132,,Mall business hours,,37.7181398,-122.4863492,1,Jalapenos Mexican Kitchen & Grill
CITYOFRIVERSIDE,2901-2981 Adams St,Riverside,92504,,24 hours daily,ChargePoint Network,33.9214073,-117.4143479,1,Diane's Deli
CITYOFSANTAROSA,117 D St,Santa Rosa,95404,,24 hours daily,ChargePoint Network,38.4394226,-122.7116852,1,3rd Street Cinema
IRVINE CO OFC,3 Park Plaza,Irvine,92614,,24 hours daily,ChargePoint Network,33.6774374,-117.838706,1,Jan's At Four
SAN JOSE,1601-1677 Senter Rd,San Jose,95112,,24 hours daily,ChargePoint Network,37.3192226,-121.8602758,1,San Jose Fire Museum
"Palomar Hotel, Los Angeles",10740 Wilshire Blvd.,Los Angeles,90024,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,34.059702,-118.437473,1,BLVD 16
LBA REALTY,2000 Powell St,Emeryville,94608,,24 hours daily,ChargePoint Network,37.8380747,-122.3008746,1,Watergate Market
STRATASTATION1,93-111 W El Camino Real,Mountain View,94040,,24 hours daily,ChargePoint Network,37.3815517,-122.075918,1,Los Charros Restaurant
Standard Parking - 1800 Century Park East,1800 Century Park East,Los Angeles,90067,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,34.062703,-118.415,1,The Garden Cafe
WELCOME TO PCC,1570 East Colorado Blvd,Pasadena,91106,,24 hours daily,ChargePoint Network,34.1439329,-118.119168,1,Sexson Auditorium
GREENPARK,1901 L St,Sacramento,95811,,24 hours daily,ChargePoint Network,38.5750084,-121.4818878,1,Mulvaney's B & L
350GREEN,4200 Arden Way,Sacramento,95864,,24 hours daily,ChargePoint Network,38.5953522,-121.3655243,1,Wenelli's Pizza
South Coast Air Quality Management District ,21865 E Copley Dr,Diamond Bar,91765,,24 hours daily,,34.0014198,-117.8300487,1,Blue Sky Cafe
USC CAMPUS,3667 McClintock Ave,Los Angeles,90089,,24 hours daily,ChargePoint Network,34.0209061,-118.2900148,1,Tutor Hall Cafe
HILTON UNIVERSA,555 Universal Hollywood Dr,Universal City,91608,,24 hours daily,ChargePoint Network,34.137037,-118.358402,1,Cafe Sierra
Hilton Palm Springs,400 E Tahquitz Canyon Way,Palm Springs,92262,,24 hours daily; pay lot; priority given to registered guests,,33.823353,-116.5436,1,The Terrace Restaurant
CITYOFRIVERSIDE,2911 Adams St,Riverside,92504,,24 hours daily,ChargePoint Network,33.9212761,-117.4140854,1,Diane's Deli
Bay Technology Center Acquisitions Partners,16800 Ashton,Irvine,92606,,24 hours daily; Mobile Now,,33.700072,-117.84298,1,Newport Corporation Cafe
350GREEN,6400 Haven Ave,Rancho Cucamonga,91737,,24 hours daily,ChargePoint Network,34.1381863,-117.5763535,1,Gourmet Wok Express
RENAISSANCE,801 K St,Sacramento,95814,,24 hours daily,ChargePoint Network,38.5800214,-121.495968,1,Capitol Park Cafe
350GREEN,1420 Meadowview Rd,Sacramento,95832,,24 hours daily,ChargePoint Network,38.480755,-121.5042,1,TOGO'S Sandwiches
SAN BENITO CO.,Winn Alley,Hollister,95023,,24 hours daily,ChargePoint Network,36.8522333,-121.4048325,1,San Benito County Historical Society
CITY OF NOVATO,901 Sherman Ave,Novato,94945,,24 hours daily,ChargePoint Network,38.1061091,-122.5679449,1,Grazie Restaurant
San Diego Convention Center - Ace Parking,111 W Harbor Dr,San Diego,92101,,24 hours daily,,32.70597,-117.162,1,Lappert's Ice Cream & Coffee Lounge
Suisun Amtrak Station Park & Ride Lot,650 Lotz Way,Suisun City,94585,,24 hours daily,,38.24337,-122.04,1,Pane e Vino
ESSEX,2300 Dupont Drive,Irvine,92612,,24 hours daily,ChargePoint Network,33.6727506,-117.8571915,1,Cafe Brasserie
South Shore Center,523 S Shore Center,Alameda,94501,,24 hours daily,,37.7601273,-122.2534215,1,South Shore Cafe
350GREEN,1826 W Orangethorpe Ave,Fullerton,92833,,24 hours daily,ChargePoint Network,33.859066,-117.9603958,1,Salt & Pepper
RIO HONDO,3600 Workman Mill Rd,Whittier,90601,,24 hours daily,ChargePoint Network,34.018956,-118.033517,1,Rio Cafe
Marriott - Renaissance Los Angeles Airport Hotel,9620 Airport Blvd,Los Angeles,90045,,24 hours daily; pay lot,,33.9492,-118.385,1,96th Street Bistro
Spirent Communications,1325 Borregas Avenue,Sunnyvale,94089,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,37.414367,-122.017175,1,TLC Cafe
Ace Parking - Aventine,3777 La Jolla Village Dr,San Diego,92122,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,32.870925,-117.225644,1,Barcino Grill
"Carl's Jr. - 2820 E. Lincoln Ave., Anaheim",2820 E. Lincoln Ave,Anaheim,92806,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,33.836534,-117.87085,1,Carl's Jr
WALNUT CREEK,1390 Broadway,Walnut Creek,94596,,24 hours daily,ChargePoint Network,37.8979773,-122.0582093,1,Neiman Marcus Cafe
"Carl's Jr - 6500 Irvine Center Dr., Irvine",6500 Irvine Center Drive,Irvine,92618,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,33.6700869,-117.7654369,1,Carl's Jr.
CITY OF MARINA,211 Cypress Ave,Marina,93933,,24 hours daily,ChargePoint Network,36.6812657,-121.8041124,1,Tommy's Restaurant
MJ - Santa Ysabel,"30250 Julian Rd, Highway 78 & 79",Santa Ysabel,92070,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,33.109202,-116.67495,1,The Apple Country Restaurant
SAN JOSE,70 S 4th St,San Jose,95112,,24 hours daily,ChargePoint Network,37.338746,-121.887791,1,Underground Dining At Naglee Park
WESTFIELD,6545 Owensmouth Ave,Los Angeles,91303,,24 hours daily,ChargePoint Network,34.1886708,-118.6015579,1,Chipotle Mexican Grill
FOUR POINTS BY,1603 Powell St,Emeryville,94608,,24 hours daily,ChargePoint Network,37.8386726,-122.2936935,1,"Noodles, Etc."
City of Palm Springs - City Hall,3200 E Tahquitz Canyon Way,Palm Springs,92264,,24 hours daily,,33.8233036,-116.5109739,1,La Brea Bakery
350GREEN,6701 Carnelian St,Rancho Cucamonga,91701,,24 hours daily,ChargePoint Network,34.132196,-117.615643,1,Subway
City of Pasadena - Marriott Garage,171 N Raymond Ave,Pasadena,91103,,24 hours daily; pay lot,,34.148826,-118.1490474,1,Armory Center For the Arts
Samitaur Constructs,3528 Hayden Avenue,Culver City,90232,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,34.025548,-118.380804,1,Dios Union Libertad
CARCHARGING,2300 Clayton Rd,Concord,94520,,24 hours daily,ChargePoint Network,37.975324,-122.03012,1,Rossi's Cafe and Deli
Country Inn and Suites - Tesla,2812 Lenwood Rd,Barstow,92311,,24 hours daily; for Tesla use only,,34.849399,-117.085136,1,Chili's
Golden Gate Recreational Area,1199 E Beach,San Francisco,94129,,24 hours daily; pay lot,,37.8061027,-122.4496073,1,Beach Hut Cafe & Snack Bar
DGS MAIN,707 3rd St,West Sacramento,95605,,24 hours daily,ChargePoint Network,38.5828963,-121.5097935,1,River View Cafe
SAN JOSE,280 S 2nd St,San Jose,95113,,24 hours daily,ChargePoint Network,37.3326556,-121.8857563,1,Camera 3 Cinema
Samitaur Constructs,3505 Hayden Avenue,Culver City,90232,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,34.02551,-118.380824,1,Dios Union Libertad
FACEBOOK,15 Hacker Way Building 15,Menlo Park,94025,,24 hours daily,ChargePoint Network,37.4839153,-122.1476857,1,Bon Appetit
Ralphs Store #280 - Lincoln Blvd Marina Del Rey,4311 Lincoln Blvd,Marina Del Rey,90292,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,33.984527,-118.443406,1,Starbucks
TOWN LOS GATOS,130 N. Santa Cruz Ave.,Los Gatos,95030,,24 hours daily,ChargePoint Network,37.224987,-121.9816513,1,Los Gatos Brewing Company
CNTYOFRIVERSIDE,4090 Lemon St,Riverside,92501,,24 hours daily,ChargePoint Network,33.9775047,-117.3740005,1,The Atrium Cafe
Los Angeles County Arboretum,301 N Baldwin Ave,Arcadia,91007,, 24 hours daily,,34.1448511,-118.05079,1,Los Angeles County Arboretum and Botanic Garden
Bella Vista Road Park & Ride Log - DC Fast,782 Davis Ct,Vacaville,95687,,24 hours daily,,38.3497896,-121.9864455,1,Sonic Drive-In
Trader Joe's,265 Winston Dr,San Francisco,94132,,Store business hours,,37.7266768,-122.4762592,1,Olive Garden Italian Restaurant
City of Solana Beach,635 South HGWY 101,Solana Beach,92075,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,32.983422,-117.270627,1,Parioli Italian Bistro
MCKENNA BMW,10900 Firestone Blvd,Norwalk,90650,,24 hours daily,ChargePoint Network,33.9234968,-118.1022318,1,BMW Grill
Kilroy - 13520 Evening Creek,13520 Evening Creek Dr.,San Diego,92128,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,32.962604,-117.093455,1,Refresh Coffee
CONTRA COSTA,1277 Treat Blvd,Walnut Creek,94597,,24 hours daily,ChargePoint Network,37.9270368,-122.0590823,1,Cactus Cafe
CENTURY PARK,2029 Century Park E,Los Angeles,90067,,24 hours daily,ChargePoint Network,34.059422,-118.4139679,1,Trimana
Facebook - Building 17,1601 Willow Rd,Menlo Park,94025,,24 hours daily,,37.48325,-122.15,1,Philz Coffee
SANTA CRUZ CNTY,1430 Freedom Blvd,Watsonville,95076,,24 hours daily,ChargePoint Network,36.9274891,-121.7651218,1,Mountain Mike's Pizza
2 HOURS MAX,2070 Main St,Irvine,92614,,24 hours daily,ChargePoint Network,33.68338,-117.854261,1,Oliver Cafe L Lounge
Chef Steve's,21278 Calistoga Rd,Middletown,95461,,24 hours daily,,38.7496719,-122.615921,1,Chef Steve's
SEBASTOPOL,6800-6898 McKinley St,Sebastopol,95472,,24 hours daily,ChargePoint Network,38.404039,-122.823278,1,BBQ Smokehouse Bistro & Catering
Roseville Toyota,700 Automall Dr,Roseville,95661,,Dealership business hours,,38.751181,-121.258323,1,O'sully's Cafe
Walmart #5023 - National City CA,1200 Highland Ave,National City,91950,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,32.674672,-117.098674,1,Burger King inside Walmart
Douglas Emmett Management,808- Wilshire Ste 150,Santa Monica,90401,,MO: 24 hours; TU: 24 hours; WE: 24 hours; TH: 24 hours; FR: 24 hours; SA: 24 hours; SU: 24 hours,SemaCharge Network,34.022055,-118.493846,1,Dagwoods Pizza
Los Angeles County Sheriff - Walnut Station,21695 Valley Blvd,Walnut,91789,,"24 hours daily; keypad activated, instructions on EVSE",,34.0289283,-117.8343212,1,Panera Bread
"Carl's Jr. - 3110 E. La Palma, Anaheim",3110 E. La Palma,Anaheim,92806,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,33.850868,-117.856607,1,Carl's Jr
DUGONI,155 5th Street,SF,94103,,24 hours daily,ChargePoint Network,37.782329,-122.4049949,1,Luce
350GREEN,1399 W San Carlos St,San Jose,95126,,24 hours daily,ChargePoint Network,37.323719,-121.9132538,1,McDonald's
CLUB@HARBOR PNT,475 E Strawberry Dr,Mill Valley,94941,,24 hours daily,ChargePoint Network,37.8844969,-122.5019772,1,Nourish at Harbor Point
350GREEN,2400 N Sepulveda Blvd,Manhattan Beach,90266,,24 hours daily,ChargePoint Network,33.8938408,-118.3953552,1,Magic Skewers Restaurant
Cal State Northridge - Lot F5,18111 Nordhoff St,Northridge,91330,,24 hours daily; parking permit required,,34.243172,-118.5296,1,CSUN Art Galleries
Yosemite Village Store,4183 Village Dr,Yosemite National Park,95389,,24 hours daily,,37.74656,-119.584,1,Village Grill
NATONAL&HAYDEN,3528 Hayden Ave,Culver City,90232,,24 hours daily,ChargePoint Network,34.0255547,-118.3807907,1,Dios Union Libertad
Westfield Mall - West Covina,1200 W Covina Pkwy,West Covina,91790,,24 hours daily,,34.0686969,-117.934368,1,Sizzler
350GREEN,11950 Valley View St,Garden Grove,92845,,24 hours daily,ChargePoint Network,33.7888451,-118.0282593,1,Carl's Jr.
California State University - Long Beach,1250 Bellflower Blvd,Long Beach,90840,,Garage business hours; pay lot,,33.781664,-118.1205362,1,The Beach Walk Cafe
Oyster Point Office Building,343 Oyster Point Boulevard,South San Francisco,94080,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,37.663092,-122.385131,1,La Barca Jalisco
GLENDALE PLAZA,655 N. Central Ave,Glendale,91203,,24 hours daily,ChargePoint Network,34.1556051,-118.2588566,1,Trimana
City of Thousand Oaks - City Hall,2100 Thousand Oaks Blvd,Thousand Oaks,91362,,24 hours daily,,34.1755737,-118.8479815,1,Mastro's Steakhouse
City of Morro Bay - Chamber of Commerce,695 Harbor St,Morro Bay,93442,,24 hours daily,,35.3669297,-120.8454694,1,Foster's Old Fashion Freeze
IKEA - Covina,848 S. Barranca Ave,Covina,91723,,MON: 9:30am-9:00pm | TUE: 9:30am-9:00pm | WED: 9:30am-9:00pm | THU: 9:30am-9:00pm | FRI: 9:30am-9:00pm | SAT: 9:30am-9:00pm | SUN: 9:30am-8:00pm,Blink Network,34.0744187,-117.880137,1,IKEA Restaurant
350GREEN,Stanford Shopping Center,Palo Alto,94304,,24 hours daily,ChargePoint Network,37.4419215,-122.169916,1,Max's
Mitchell International,6220 Greenwich Drive,San Diego,92122,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,32.851523,-117.183107,1,Mitchell Cafe
McDonald's #16318 - Bailey Rd - Bay Point CA,220 Bailey Road,Bay Point,94565,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,38.021149,-121.942255,1,McDonald's
Ace Parking - Omni Hotel,675 L Street,San Diego,92101,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,32.707115,-117.158705,1,McCormick & Schmick's
Torrance Marriott South Bay,3635 Fashion Way,Torrance,90503,,24 hours daily; pay lot,,33.835802,-118.349995,1,Rain Wine Bar and Lounge
CITYOF CAMPBELL,300 Orchard City Dr,Campbell,95008,,24 hours daily,ChargePoint Network,37.2855519,-121.9440265,1,Komatsu Japanese Cuisine
Sun Harbor,5000 N Harbor Dr. Suite 200,San Diego,92106,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,32.725069,-117.225698,1,Pizza Nova
Santa Ynez Band of Chumash Indians,3400 E Highway 246,Santa Ynez,93460,,24 hours daily,,34.6102206,-120.0860616,1,The Willows
W HOTEL NEWARK,8200 Gateway Blvd,Newark,94560,,24 hours daily,ChargePoint Network,37.5363739,-122.062838,1,Yokohama Sushi Catering
SEARS - Store #1019,1700 STONERIDGE DR,Pleasanton,94588,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,37.69554,-121.927032,1,The Cheesecake Factory
PMI 3003 OAK,3003 Oak Rd,Walnut Creek,94597,,24 hours daily,ChargePoint Network,37.929034,-122.05832,1,Sabores del Sur
SONOMACNTYAIRPT,2200 Airport Blvd,Santa Rosa,95403,,24 hours daily,ChargePoint Network,38.507681,-122.806646,1,Sky Lounge Restaurant
Carmel-by-the-Sea,8th Avenue,Carmel,93921,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,36.552447,-121.921318,1,Tree House Cafe
Pearl Hotel,1410 Rosecrans Street,San Diego,92106,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,32.725249,-117.228935,1,EAT at The Pearl
COMFORT_INN_ER,2300 Colorado Blvd,Los Angeles,90041,,24 hours daily,ChargePoint Network,34.1393691,-118.2168957,1,Fred's Taco Truck
BWP EV CHARGE,301 E Olive Ave,Burbank,91502,,24 hours daily,ChargePoint Network,34.182621,-118.307663,1,Another Broken Egg Cafe
INN MARIN,250 Entrada Dr,Novato,94949,,24 hours daily,ChargePoint Network,38.0703812,-122.5402985,1,Rickey's Restaurant
IRVINE CO OFC,2 Park Plaza,Irvine,92614,,24 hours daily,ChargePoint Network,33.6797326,-117.8390243,1,Bistro 24
BMW GROUP,675 El Camino Real,Palo Alto,94301,,24 hours daily,ChargePoint Network,37.4405689,-122.1631209,1,Restaurant Soleil
CITY OF SB EV2,1115 Anacapa St,Santa Barbara,93101,,24 hours daily,ChargePoint Network,34.4236978,-119.7023386,1,Jeannine's American Bakery Restaurant
ESSEX,13141 Fountain Park Dr,Los Angeles,90094,,24 hours daily,ChargePoint Network,33.9745191,-118.4301763,1,The Slice
ROHNERT PARK #1,City Center Plaza/Library Parking Lot 495 City Center Drive,Rohnert Park,94928,,24 hours daily,ChargePoint Network,38.3493988,-122.7042902,1,Art Smart
Macy's #71-550 - North County Fair - Escondido CA,272 Via Rancho Parkway,Escondido,92027,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,33.069732,-117.066793,1,The Cheesecake Factory
UCSF CAMPUS,Campus Way,San Francisco,94158,,24 hours daily,ChargePoint Network,37.7687531,-122.3894577,1,Caffe Terzetto
Ramada Plaza West Hollywood,8585 Santa Monica Blvd.,West Hollywood,90069,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,34.088515,-118.378373,1,Bite Mi Caf
Solano County - County Administration Center Parking Structure,675 Texas St,Fairfield,94533,,24 hours daily,,38.2483004,-122.0404147,1,Masala Express Indian Cuisine
GLENDALE NISSAN,727 South  Brand Blvd,Glendale,91204,,24 hours daily,ChargePoint Network,34.1369637,-118.2555471,1,Sri Windsor
IKEA - East Palo Alto,1700 E. Bayshore Rd,Palo Alto,94303,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,37.460995,-122.138388,1,TOGO'S Sandwiches
ROSEVILLE,405 Vernon Street,Roseville,95678,,24 hours daily,ChargePoint Network,38.7473413,-121.2852102,1,Blue Line Arts
GASSER BUILDING,433 Soscol Ave,Napa,94559,,24 hours daily,ChargePoint Network,38.2892723,-122.2765579,1,Taco Bell
SAN JOSE,488 S Almaden Blvd,San Jose,95113,,24 hours daily,ChargePoint Network,37.3271629,-121.8889068,1,488 Cafe
UC SANTABARBARA,Mesa Rd 10 Parking Structure,Isla Vista,93117,,24 hours daily,ChargePoint Network,34.415699,-119.8405075,1,Yoshinoya
Carl's Jr - 1360 W. 190th,1360 W. 190th St.,Torrance,90501,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,33.857926,-118.302131,1,Carl's Jr
JACK LONDON,255 2nd St,Oakland,94607,,24 hours daily,ChargePoint Network,37.7940945,-122.2718434,1,Yia-Yia's Sandwiches
350GREEN,5913 Carson St,Lakewood,90713,,24 hours daily,ChargePoint Network,33.8326149,-118.1159821,1,Wienerschnitzel
THE BOEING CO,2060 E.Imperial Highway,El Segundo,90245,,24 hours daily,ChargePoint Network,33.9283012,-118.3896499,0,
San Joaquin Valley Air Pollution Control District,1990 E Gettysburg Ave,Fresno,93726,,7:30am-5:30pm M-F,,36.801411,-119.7881,0,
POMONA COLLEGE,E 1st St,Claremont,91711,,24 hours daily,ChargePoint Network,34.0948181,-117.7109222,0,
CITYOFSANTAROSA,97 D St,Santa Rosa,95404,,24 hours daily,ChargePoint Network,38.4394132,-122.7112405,0,
El Dorado County Government Center,2850 Fairlane Ct,Placerville,95667,,24 hours daily,,38.72799,-120.828,0,
Woodland Gateway Shopping Center,County Rd 102 & Maxwell Ave,Woodland,95776,,24 hours daily,,38.668736,-121.7287,0,
Lodi Animals Service and Shelter,1345 W Kettleman Ln,Lodi,95242,,24 hours daily,,38.1155339,-121.2889381,0,
